Database Name	1400L19201
Database Link	http://10.25.11.3/ODA/OdaService.asmx
Evaluation Signature	2928ff34-54a8-455d-ab66-f07f402d310a
Plate Name	EP209
Measurement	Measurement 4
Evaluation	Evaluation2
Population	Population - Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Time post-release	AB1-1	AB1-2	AB2-1	AB2-2	Nuclei - Intensity Nucleus dsRed Mean	Nuclei - Intensity Nucleus dsRed StdDev	Nuclei - Intensity Nucleus EGFP Mean	Nuclei - Intensity Nucleus EGFP StdDev	Nuclei - Intensity Cytoplasm Region dsRed Mean	Nuclei - Intensity Cytoplasm Region dsRed StdDev	Nuclei - Intensity Cytoplasm Region EGFP Mean	Nuclei - Intensity Cytoplasm Region EGFP StdDev	
3	3	1	0	3	23	1940	635	[1874,570,1985,683]	-201.33	1355.37	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.312	6.34471	786.17	83.3092	121.254	13.3356	448.734	234.248	
3	3	1	0	3	24	782	627	[741,587,822,675]	-365.21	1355.38	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.499	5.97414	607.456	82.376	122.109	13.9637	516.634	175.658	
3	3	1	0	3	25	1087	649	[1044,605,1133,694]	-321.44	1352.61	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	128.636	14.9697	705.674	89.9804	125.022	12.4089	487.808	237.206	
3	3	1	0	3	26	114	680	[66,631,160,741]	-459.85	1347.98	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.686	8.73946	750.963	134.763	127.497	144.678	456.731	395.812	
3	3	1	0	3	27	388	672	[316,620,434,721]	-422.07	1349.94	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.567	6.44439	775.884	102.637	119.345	13.015	646.728	406.828	
3	3	1	0	3	28	1425	683	[1317,632,1513,822]	-274.02	1344.78	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.216	6.5739	425.834	60.7248	165.636	275.227	415.025	661.337	
3	3	1	0	3	29	2029	694	[1967,643,2082,745]	-188.44	1346.56	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.482	12.9883	1019.78	364.487	122.541	56.1031	751.856	400.155	
3	3	1	0	3	30	502	722	[451,635,555,774]	-404.51	1343.06	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	149.13	156.495	1342.84	619.004	122.245	23.1935	604.984	451.9	
3	3	1	0	3	31	2120	728	[2082,677,2158,790]	-174.59	1340.45	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.888	5.35619	650.75	93.9635	113.149	6.05037	470.51	198.221	
3	3	1	0	3	32	1043	739	[990,687,1096,790]	-328.02	1339.94	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.97	7.89159	813.506	207.753	128.91	33.3186	795.317	469.16	
