,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
1035,2038,9,Lpp WT,0.4395239999999999,0.24343,244.528,1516.66,2.0,8.53175,1.0,w1_f10_c7,,0
1036,2039,10,Lpp WT,0.4938109999999999,0.158334,970.732,2809.43,4.0,11.3611,1.0,w1_f10_c7,,0
1037,2040,11,Lpp WT,0.5018050000000001,0.150239,1224.03,2917.54,13.0,15.1947,1.0,w1_f10_c7,,0
1038,2041,12,Lpp WT,0.493486,0.16329,1423.59,3224.58,7.0,10.4442,1.0,w1_f10_c7,,0
1039,2042,13,Lpp WT,0.4947689999999999,0.156901,1481.27,3174.96,6.0,17.2905,1.0,w1_f10_c7,,0
1040,2043,14,Lpp WT,0.500663,0.167001,1526.4,3131.92,6.0,10.5752,1.0,w1_f10_c7,,0
1041,2044,15,Lpp WT,0.500996,0.145368,1473.35,3149.74,4.0,13.5355,1.0,w1_f10_c7,,0
1042,2045,16,Lpp WT,0.515351,0.100809,1541.67,3130.22,5.0,13.0814,1.0,w1_f10_c7,,0
1043,2046,17,Lpp WT,0.5002909999999999,0.13642,1561.47,3200.7,3.0,11.2214,1.0,w1_f10_c7,,0
1044,2047,0,Lpp WT,0.482788,0.112971,122.61,226.986,4.0,9.06444,1.0,w1_f10_c8,,0
1045,2048,1,Lpp WT,0.475917,0.132633,123.295,395.226,6.0,7.02101,1.0,w1_f10_c8,,0
1046,2049,2,Lpp WT,0.486705,0.149565,266.568,637.762,5.0,7.239330000000001,1.0,w1_f10_c8,,0
1047,2050,3,Lpp WT,0.508025,0.1363319999999999,458.141,731.3439999999999,4.0,6.0254900000000005,1.0,w1_f10_c8,,0
1048,2051,4,Lpp WT,0.485521,0.176021,507.8130000000001,1331.7,4.0,9.05571,1.0,w1_f10_c8,,0
1049,2052,5,Lpp WT,0.486109,0.189864,365.451,2105.06,5.0,8.287239999999999,1.0,w1_f10_c8,,0
1050,2053,6,Lpp WT,0.489451,0.200164,575.75,2742.29,4.0,7.72835,1.0,w1_f10_c8,,0
1051,2054,7,Lpp WT,0.4855649999999999,0.20368,803.922,3452.95,4.0,8.252310000000001,1.0,w1_f10_c8,,0
1052,2055,8,Lpp WT,0.472963,0.2899989999999999,1143.8,2605.79,6.0,15.8235,1.0,w1_f10_c8,,0
1053,2056,9,Lpp WT,0.479581,0.2808239999999999,1265.62,2141.54,7.0,16.1728,1.0,w1_f10_c8,,0
1054,2057,10,Lpp WT,0.4828699999999999,0.278386,1252.59,2030.11,6.0,11.3087,1.0,w1_f10_c8,,0
1055,2058,11,Lpp WT,0.488435,0.2177889999999999,1142.09,1899.91,5.0,9.85911,1.0,w1_f10_c8,,0
1056,2059,12,Lpp WT,0.483913,0.189788,1346.72,2326.66,4.0,7.911739999999999,1.0,w1_f10_c8,,0
1057,2060,13,Lpp WT,0.493459,0.167251,1323.4,2292.09,4.0,8.13005,1.0,w1_f10_c8,,0
1058,2061,14,Lpp WT,0.49223,0.173954,1347.05,2243.86,4.0,8.49682,1.0,w1_f10_c8,,0
1059,2062,15,Lpp WT,0.4947609999999999,0.196463,1285.38,2272.25,6.0,10.3569,1.0,w1_f10_c8,,0
1060,2063,16,Lpp WT,0.483781,0.217476,1255.58,2264.83,6.0,10.0512,1.0,w1_f10_c8,,0
1061,2064,17,Lpp WT,0.4929159999999999,0.181842,1346.45,2407.46,5.0,8.31343,1.0,w1_f10_c8,,0
1062,2157,0,Lpp WT,0.400238,0.28021,123.879,220.682,4.0,14.1031,1.0,w1_f11_c1,,0
1063,2158,1,Lpp WT,0.4399659999999999,0.199451,125.471,277.322,4.0,14.3302,1.0,w1_f11_c1,,0
1064,2159,2,Lpp WT,0.455186,0.1824869999999999,126.5,317.855,3.0,16.1466,1.0,w1_f11_c1,,0
1065,2160,3,Lpp WT,0.4511239999999999,0.179009,133.781,365.628,3.0,18.059,1.0,w1_f11_c1,,0
1066,2161,4,Lpp WT,0.452997,0.181444,136.629,416.172,3.0,18.1987,1.0,w1_f11_c1,,0
1067,2162,5,Lpp WT,0.4500149999999999,0.193821,142.565,536.539,6.0,15.2209,1.0,w1_f11_c1,,0
1068,2163,6,Lpp WT,0.453655,0.189876,148.778,530.751,5.0,12.182,1.0,w1_f11_c1,,0
1069,2164,7,Lpp WT,0.451963,0.181148,142.86,558.124,7.0,8.69767,1.0,w1_f11_c1,,0
1070,2165,8,Lpp WT,0.454668,0.203938,155.201,473.776,8.0,10.2346,1.0,w1_f11_c1,,0
1071,2166,9,Lpp WT,0.447787,0.187025,153.764,533.2919999999999,8.0,10.5315,1.0,w1_f11_c1,,0
1072,2167,10,Lpp WT,0.433472,0.244702,164.548,473.942,5.0,8.994580000000001,1.0,w1_f11_c1,,0
1073,2168,11,Lpp WT,0.44487,0.224661,164.56400000000002,583.424,5.0,10.2695,1.0,w1_f11_c1,,0
