,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
40999,15,Lpp dotA,0.380763,0.318079,1.0280940053646062,691.515,12.0,22.2681,1.0,w10_f10_c5,,0
41000,16,Lpp dotA,0.393129,0.294701,1.0288191628719356,635.279,13.0,29.4638,1.0,w10_f10_c5,,0
41001,17,Lpp dotA,0.392652,0.317754,1.0305345892333604,675.2489999999999,14.0,20.8971,1.0,w10_f10_c5,,0
41118,0,Lpp dotA,0.343659,0.502058,0.9031095549191969,262.205,12.0,25.5516,1.0,w10_f12_c1,,0
41119,1,Lpp dotA,0.3276739999999999,0.5024310000000001,0.9624580366259217,418.948,8.0,25.9795,1.0,w10_f12_c1,,0
41120,2,Lpp dotA,0.355415,0.473886,1.1344324084548816,470.184,10.0,16.6007,1.0,w10_f12_c1,,0
41121,3,Lpp dotA,0.3909829999999999,0.321796,1.0902340499807082,496.512,14.0,17.3691,1.0,w10_f12_c1,,0
41122,4,Lpp dotA,0.4199779999999999,0.264644,1.0709656759941941,494.616,17.0,19.1157,1.0,w10_f12_c1,,0
41123,5,Lpp dotA,0.403074,0.281498,1.1487951032449928,505.509,28.0,22.5214,1.0,w10_f12_c1,,0
41124,6,Lpp dotA,0.408431,0.279129,1.2582240338909203,518.056,16.0,23.5256,1.0,w10_f12_c1,,0
41125,7,Lpp dotA,0.4173189999999999,0.2448929999999999,1.1276526495654708,511.187,15.0,19.5698,1.0,w10_f12_c1,,0
41126,8,Lpp dotA,0.395277,0.306001,1.1555512392811305,578.386,17.0,24.2504,1.0,w10_f12_c1,,0
41127,9,Lpp dotA,0.4062139999999999,0.289855,1.1560079477777458,591.533,24.0,18.6616,1.0,w10_f12_c1,,0
41128,10,Lpp dotA,0.403111,0.300874,1.1654019690960586,551.524,14.0,22.6,1.0,w10_f12_c1,,0
41129,11,Lpp dotA,0.418054,0.278963,1.1124395320575244,520.136,15.0,25.5691,1.0,w10_f12_c1,,0
41130,12,Lpp dotA,0.418295,0.275237,1.1726384364820848,502.122,19.0,28.5818,1.0,w10_f12_c1,,0
41131,13,Lpp dotA,0.455931,0.2053849999999999,1.1360702596151577,487.887,16.0,23.8749,1.0,w10_f12_c1,,0
41132,14,Lpp dotA,0.439723,0.226848,1.1275266610146804,488.601,10.0,23.9186,1.0,w10_f12_c1,,0
41133,15,Lpp dotA,0.413139,0.28171,1.204671025520556,495.333,16.0,26.2939,1.0,w10_f12_c1,,0
41134,16,Lpp dotA,0.446993,0.2093159999999999,1.1509211600395817,457.61,17.0,18.9847,1.0,w10_f12_c1,,0
41135,17,Lpp dotA,0.4475739999999999,0.203249,1.1479840519492792,453.304,12.0,21.8577,1.0,w10_f12_c1,,0
41142,0,Lpp dotA,0.503448,0.115789,0.9524530309942277,1180.21,2.0,3.40571,1.0,w10_f12_c3,,0
41143,1,Lpp dotA,0.512152,0.1011519999999999,0.9967658151638489,1339.94,2.0,2.88176,1.0,w10_f12_c3,,0
41144,2,Lpp dotA,0.51707,0.104129,1.0507811538419236,1508.47,2.0,2.61105,1.0,w10_f12_c3,,0
41145,3,Lpp dotA,0.50731,0.1033359999999999,1.1087875027955405,1642.36,2.0,2.51499,1.0,w10_f12_c3,,0
41146,4,Lpp dotA,0.509165,0.0902539,1.1438549702481184,1758.23,2.0,2.39273,1.0,w10_f12_c3,,0
41147,5,Lpp dotA,0.508116,0.100664,1.1148887204726783,1803.81,3.0,3.78122,1.0,w10_f12_c3,,0
41148,6,Lpp dotA,0.507794,0.123526,1.0594388178648515,1809.93,3.0,3.83361,1.0,w10_f12_c3,,0
41149,7,Lpp dotA,0.5025609999999999,0.0957719,1.1795619421031158,1981.62,3.0,4.0955900000000005,1.0,w10_f12_c3,,0
41150,8,Lpp dotA,0.507184,0.113278,1.0711227361360842,1916.28,3.0,3.59783,1.0,w10_f12_c3,,0
41151,9,Lpp dotA,0.507142,0.1084589999999999,1.0854290938364033,1959.95,3.0,3.76375,1.0,w10_f12_c3,,0
41152,10,Lpp dotA,0.510322,0.130664,1.000357724411837,1776.88,1.0,1.05664,1.0,w10_f12_c3,,0
41153,11,Lpp dotA,0.5097649999999999,0.1398,1.0396801744731423,1857.23,2.0,1.94737,1.0,w10_f12_c3,,0
41154,12,Lpp dotA,0.506247,0.178368,0.9858203909199803,1814.62,2.0,1.6591900000000002,1.0,w10_f12_c3,,0
41155,13,Lpp dotA,0.500972,0.154516,1.0354660447255029,1931.78,2.0,1.99103,1.0,w10_f12_c3,,0
41156,14,Lpp dotA,0.5030100000000001,0.186384,1.0464994597470998,1947.0,2.0,2.20935,1.0,w10_f12_c3,,0
41157,15,Lpp dotA,0.504794,0.152592,0.9588307911156552,1818.82,2.0,2.18315,1.0,w10_f12_c3,,0
41158,16,Lpp dotA,0.501055,0.11682,1.0334532556849638,1975.59,2.0,2.23555,1.0,w10_f12_c3,,0
41159,17,Lpp dotA,0.4994149999999999,0.129209,1.0090043895875485,1966.95,3.0,3.94714,1.0,w10_f12_c3,,0
41160,0,Lpp dotA,0.36648,0.608305,1.0009204781180865,317.101,9.0,19.1157,1.0,w10_f12_c4,,0
41161,1,Lpp dotA,0.391376,0.453366,0.996861885839492,515.008,8.0,14.1643,1.0,w10_f12_c4,,0
41162,2,Lpp dotA,0.3921179999999999,0.441492,1.0022176360424215,729.122,9.0,15.4654,1.0,w10_f12_c4,,0
41163,3,Lpp dotA,0.417914,0.369206,1.0027030755110378,848.198,11.0,14.1031,1.0,w10_f12_c4,,0
41164,4,Lpp dotA,0.4260359999999999,0.361427,1.0040161494835242,932.481,14.0,22.3817,1.0,w10_f12_c4,,0
41165,5,Lpp dotA,0.420442,0.327178,1.005663460467189,970.132,15.0,28.5381,1.0,w10_f12_c4,,0
41166,6,Lpp dotA,0.4264,0.2631699999999999,1.0058544530450053,992.775,9.0,21.2813,1.0,w10_f12_c4,,0
41167,7,Lpp dotA,0.433885,0.227113,1.0026553273665837,1032.69,12.0,21.3861,1.0,w10_f12_c4,,0
41168,8,Lpp dotA,0.418583,0.294213,1.0047960358429404,1058.97,13.0,15.2908,1.0,w10_f12_c4,,0
41169,9,Lpp dotA,0.416309,0.279278,1.0071436529452646,1053.45,15.0,20.0588,1.0,w10_f12_c4,,0
41170,10,Lpp dotA,0.425295,0.311013,1.007159568993416,1106.66,9.0,19.2816,1.0,w10_f12_c4,,0
41171,11,Lpp dotA,0.411601,0.286333,1.0070401986322808,1148.58,11.0,19.2554,1.0,w10_f12_c4,,0
41172,12,Lpp dotA,0.4222729999999999,0.300196,1.0074380998360646,1122.56,10.0,15.7012,1.0,w10_f12_c4,,0
41173,13,Lpp dotA,0.438389,0.224478,1.0042230581094918,1118.52,18.0,24.3378,1.0,w10_f12_c4,,0
41174,14,Lpp dotA,0.426242,0.254611,1.0066343394044215,1127.88,12.0,16.7579,1.0,w10_f12_c4,,0
41175,15,Lpp dotA,0.413967,0.3014679999999999,1.0076290924138809,1133.89,12.0,14.4088,1.0,w10_f12_c4,,0
41176,16,Lpp dotA,0.441751,0.2190929999999999,1.002647369342508,1143.07,9.0,16.8714,1.0,w10_f12_c4,,0
41177,17,Lpp dotA,0.435936,0.239682,1.003650080376043,1161.3,5.0,9.52727,1.0,w10_f12_c4,,0
41224,0,Lpp dotA,0.375751,0.4275609999999999,0.9993137524018665,252.128,3.0,3.9646,1.0,w10_f13_c1,,0
41225,1,Lpp dotA,0.371177,0.434929,0.9957809497666759,382.323,5.0,3.78995,1.0,w10_f13_c1,,0
41226,2,Lpp dotA,0.375196,0.4282569999999999,1.0049052978314574,461.997,7.0,8.58415,1.0,w10_f13_c1,,0
41227,3,Lpp dotA,0.37392,0.422518,0.9969091408180072,513.259,6.0,10.0425,1.0,w10_f13_c1,,0
41228,4,Lpp dotA,0.383794,0.377168,0.9906917375789184,532.889,6.0,8.523019999999999,1.0,w10_f13_c1,,0
41229,5,Lpp dotA,0.364775,0.43449,1.0024348064781774,593.823,5.0,5.00378,1.0,w10_f13_c1,,0
41230,6,Lpp dotA,0.355671,0.407561,1.0005078232226188,609.505,10.0,11.1865,1.0,w10_f13_c1,,0
41231,7,Lpp dotA,0.370473,0.388166,1.016928355750755,602.067,7.0,9.38754,1.0,w10_f13_c1,,0
41232,8,Lpp dotA,0.384022,0.386554,1.021754048860829,645.563,5.0,5.53647,1.0,w10_f13_c1,,0
41233,9,Lpp dotA,0.387403,0.385376,1.0213093604172385,662.798,7.0,5.01251,1.0,w10_f13_c1,,0
41234,10,Lpp dotA,0.38117,0.371655,1.0273538292615976,649.394,8.0,4.08686,1.0,w10_f13_c1,,0
41235,11,Lpp dotA,0.404285,0.321373,1.017587153444963,658.1239999999999,5.0,7.21313,1.0,w10_f13_c1,,0
41236,12,Lpp dotA,0.388701,0.36638,1.0261844633543782,654.203,3.0,7.32665,1.0,w10_f13_c1,,0
41237,13,Lpp dotA,0.393531,0.363793,1.0320807027175405,670.762,8.0,10.7062,1.0,w10_f13_c1,,0
41238,14,Lpp dotA,0.412221,0.300701,1.0236069173757891,673.7310000000001,4.0,7.84187,1.0,w10_f13_c1,,0
41239,15,Lpp dotA,0.3910369999999999,0.36962,1.0301537194619819,695.317,5.0,7.0996,1.0,w10_f13_c1,,0
41240,16,Lpp dotA,0.386848,0.388966,1.0379851770518804,659.932,4.0,7.25679,1.0,w10_f13_c1,,0
41241,17,Lpp dotA,0.399793,0.367267,1.038281636014274,698.388,4.0,8.71513,1.0,w10_f13_c1,,0
41242,0,Lpp dotA,0.373296,0.623233,0.99209234519265,283.355,15.0,54.4914,1.0,w10_f13_c2,,0
41243,1,Lpp dotA,0.368657,0.522907,1.0010966251490967,510.528,21.0,66.0708,1.0,w10_f13_c2,,0
41244,2,Lpp dotA,0.384328,0.4706369999999999,1.0068110296582533,683.3639999999999,21.0,55.2075,1.0,w10_f13_c2,,0
41245,3,Lpp dotA,0.38132,0.453922,1.0076919678704421,850.055,17.0,51.8629,1.0,w10_f13_c2,,0
41246,4,Lpp dotA,0.39109,0.405837,1.0163766153782186,993.208,13.0,59.6611,1.0,w10_f13_c2,,0
41247,5,Lpp dotA,0.392491,0.348007,1.0280081181444687,993.993,17.0,67.3371,1.0,w10_f13_c2,,0
41248,6,Lpp dotA,0.388602,0.363209,1.0266048537356718,1057.8,24.0,64.5252,1.0,w10_f13_c2,,0
41249,7,Lpp dotA,0.402481,0.306696,1.0370123981009156,1045.81,15.0,57.347,1.0,w10_f13_c2,,0
41250,8,Lpp dotA,0.410485,0.301944,1.0369266430537112,1057.28,15.0,55.9847,1.0,w10_f13_c2,,0
41251,9,Lpp dotA,0.414124,0.289186,1.0474043506393946,1042.26,14.0,56.823,1.0,w10_f13_c2,,0
41252,10,Lpp dotA,0.418997,0.279158,1.0377062343919319,1037.52,13.0,54.6049,1.0,w10_f13_c2,,0
41253,11,Lpp dotA,0.413862,0.292928,1.0814179207259556,1156.33,14.0,52.6052,1.0,w10_f13_c2,,0
41254,12,Lpp dotA,0.4104489999999999,0.295994,1.101858805614097,1010.73,14.0,56.0284,1.0,w10_f13_c2,,0
41255,13,Lpp dotA,0.416749,0.2993889999999999,1.1046185589513977,989.805,18.0,54.177,1.0,w10_f13_c2,,0
41256,14,Lpp dotA,0.425452,0.259868,1.0982648895449005,1184.8,15.0,52.317,1.0,w10_f13_c2,,0
41257,15,Lpp dotA,0.414027,0.304899,1.104969375053597,1029.3,18.0,55.2948,1.0,w10_f13_c2,,0
41258,16,Lpp dotA,0.417204,0.288048,1.1344145398981855,918.445,16.0,54.9368,1.0,w10_f13_c2,,0
41259,17,Lpp dotA,0.415995,0.2917929999999999,1.1581297084068531,1019.84,19.0,49.0685,1.0,w10_f13_c2,,0
41260,0,Lpp dotA,0.347344,0.7593270000000001,1.0614842555454607,397.446,10.0,14.9939,1.0,w10_f13_c3,,0
41261,1,Lpp dotA,0.349454,0.6165189999999999,0.9950317991446365,578.7719999999999,18.0,29.5773,1.0,w10_f13_c3,,0
41262,2,Lpp dotA,0.370225,0.555657,0.9434839453099032,704.909,15.0,23.5518,1.0,w10_f13_c3,,0
41263,3,Lpp dotA,0.3721219999999999,0.4863939999999999,0.9336383982981364,794.1239999999999,22.0,30.7649,1.0,w10_f13_c3,,0
41264,4,Lpp dotA,0.37986,0.4233689999999999,0.9333126509628383,887.956,19.0,34.8081,1.0,w10_f13_c3,,0
41265,5,Lpp dotA,0.38175,0.385434,0.9558357524320252,917.143,18.0,33.3673,1.0,w10_f13_c3,,0
41266,6,Lpp dotA,0.382768,0.376747,0.9515611496443372,980.423,19.0,29.2804,1.0,w10_f13_c3,,0
41267,7,Lpp dotA,0.388923,0.344859,0.9704279034724224,931.114,20.0,33.4284,1.0,w10_f13_c3,,0
41268,8,Lpp dotA,0.394493,0.344319,0.9727679659627275,984.491,27.0,33.1402,1.0,w10_f13_c3,,0
41269,9,Lpp dotA,0.403648,0.3291409999999999,0.9661599485895362,939.206,18.0,29.8306,1.0,w10_f13_c3,,0
41270,10,Lpp dotA,0.4031909999999999,0.328495,1.043488377246438,918.358,15.0,32.9656,1.0,w10_f13_c3,,0
41271,11,Lpp dotA,0.408242,0.354553,1.0381102222616174,1103.25,25.0,30.2061,1.0,w10_f13_c3,,0
41272,12,Lpp dotA,0.3981659999999999,0.35714,1.0441132802978261,917.253,15.0,26.5733,1.0,w10_f13_c3,,0
41273,13,Lpp dotA,0.381054,0.4026869999999999,1.0548695902674676,977.992,24.0,30.992,1.0,w10_f13_c3,,0
41274,14,Lpp dotA,0.397766,0.39079,1.0218361513063134,1190.64,18.0,27.1759,1.0,w10_f13_c3,,0
41275,15,Lpp dotA,0.392375,0.408921,1.0157998537460946,1144.75,20.0,29.0621,1.0,w10_f13_c3,,0
41276,16,Lpp dotA,0.3819349999999999,0.393262,1.0586123606709954,1040.66,20.0,20.3033,1.0,w10_f13_c3,,0
41277,17,Lpp dotA,0.3860719999999999,0.408188,1.0403838057039023,1145.22,21.0,20.5653,1.0,w10_f13_c3,,0
