Database Name	Opera_Phenix_1
Database Link	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	e740a9c8-6ba9-4899-a4ca-d0a2745e5893
Plate Name	EP149
Measurement	Measurement 1
Evaluation	Evaluation10
Population	Population - Tracked Real_Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Bacteria	Tracked Real_Nuclei - Age [s]	Tracked Real_Nuclei - Current Displacement X [µm]	Tracked Real_Nuclei - Current Displacement Y [µm]	Tracked Real_Nuclei - Track Point X	Tracked Real_Nuclei - Track Point Y	Tracked Real_Nuclei - Current Speed [µm/s]	
4	5	1	7	1	5	1481	1114	[1312,915,1657,1342]	38.28	392.95	Lpp WT	25202	-2.61655	2.80345	1489	1131	0.00027336	
4	5	1	7	1	6	234	1108	[1,872,468,1431]	-80.69	392.53	Lpp WT	25202	-0.467242	-7.00863	216	1135	0.000185893	
4	5	1	7	1	7	715	1039	[503,816,932,1268]	-35.12	401.1	Lpp WT	25202	-6.63483	-8.8776	704	1044	0.000936908	
4	5	1	7	1	9	997	1556	[733,1359,1250,1761]	-6.98	353.1	Lpp WT	25202	-3.17724	-5.6069	1005	1557	0.000246706	
4	5	1	7	1	10	153	1646	[71,1571,300,1839]	-83.22	339.28	Lpp WT	25202	-8.5038	-8.22346	189	1705	0.000303771	
4	5	1	7	1	12	2064	660	[1928,546,2158,839]	92.53	434.19	Lpp WT	21602.7	-1.49517	-1.21483	2070	689	0.00016594	
4	5	1	7	1	14	467	1953	[378,1882,539,2023]	-57.82	316.07	Lpp WT	21602.7	9.99898	-5.88725	461	1953	0.00174995	
4	5	1	7	1	15	1029	664	[839,547,1263,1003]	-3.57	429.65	Lpp WT	18001.1	-1.30828	-2.24276	1041	738	0.00136368	
4	5	1	7	1	17	1065	864	[960,779,1242,1016]	1.97	414.36	Lpp WT	0	0	0	1101	902	0.000911878	
4	5	1	8	1	2	661	133	[476,1,829,265]	-39.7	488.13	Lpp WT	28802	-3.0838	-0.467242	655	112	0.000131466	
4	5	1	8	1	3	203	140	[46,1,356,309]	-82.5	484.65	Lpp WT	28802	-5.9807	-2.33621	197	150	0.000145643	
4	5	1	8	1	4	925	398	[787,190,1078,543]	-13.91	462.99	Lpp WT	28802	-3.55104	-3.0838	931	381	0.000309017	
4	5	1	8	1	5	1496	1187	[1331,911,1663,1353]	38.72	392.49	Lpp WT	28802	-2.14931	3.27069	1494	1136	0.000301059	
4	5	1	8	1	6	220	1170	[1,875,460,1433]	-81.45	392.34	Lpp WT	28802	-1.21483	-6.82173	208	1137	0.000200623	
4	5	1	8	1	7	710	944	[545,824,925,1208]	-31.88	406.58	Lpp WT	28802	-3.45759	-14.3911	738	985	0.00186106	
4	5	1	8	1	9	1005	1577	[734,1379,1244,1767]	-7.19	352.33	Lpp WT	28802	-3.36414	-4.85932	1003	1565	0.00018271	
4	5	1	8	1	10	207	1727	[73,1573,310,1857]	-83.67	338.12	Lpp WT	28802	-8.97104	-7.00863	184	1718	0.000250674	
4	5	1	8	1	12	2064	660	[1969,546,2158,835]	93.11	434.54	Lpp WT	25202.6	-0.934484	-1.49517	2076	686	0.000222573	
4	5	1	8	1	15	1003	662	[803,535,1269,957]	-3.42	431.75	Lpp WT	21601.1	-1.12138	-4.29863	1043	716	0.000380313	
4	5	1	8	1	17	1032	873	[896,774,1243,1016]	-1.28	414.07	Lpp WT	3599.92	-3.27069	0.280345	1066	905	0.00056683	
4	5	1	8	1	18	584	1119	[416,1004,704,1257]	-47.85	393.42	Lpp WT	0	0	0	567	1126	0.00231436	
4	5	1	8	1	19	713	1106	[645,1041,825,1199]	-32.88	393.99	Lpp WT	0	0	0	728	1120	NaN	
4	5	1	9	1	2	653	131	[499,1,805,263]	-40.02	487.93	Lpp WT	32401.9	-3.45759	-0.280345	651	114	0.000116088	
4	5	1	9	1	3	202	137	[77,1,354,308]	-82.23	485.27	Lpp WT	32401.9	-5.70035	-2.99035	200	143	0.000197691	
4	5	1	9	1	4	942	395	[798,260,1075,526]	-13.52	462.09	Lpp WT	32401.9	-3.17724	-2.14931	935	391	0.000279578	
