Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
8	9	1	-4	132	612	1.01625851101	84	7.40416915167	0.75	0.25	217.629127386	154.161422073	0.632649108343	75	4	0	-1287.857	0	37	0	5	NaCN	Lpp WT	
8	10	1	-4	92	439	0.806057685599	58	6.10102282721	0.844827586207	0.155172413793	192.180757829	124.363002993	0.564540401607	84.4827586207	4	0	-1288.983	0	37	0	5	FCCP	Lpp WT	
8	11	1	-4	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-1288.84	0	37	0	5			
3	3	1	-3	126	0	NaN	113	0	0	1	236.962134897	167.301986547	0.646737910086	0	4	0	-984.93599999999992	0	37	0	5	NT	NI	
3	4	1	-3	143	0	NaN	132	0	0	1	267.794433381	206.928050952	0.709920760406	0	4	0	-984.813	0	37	0	5	Oligomycin	NI	
3	5	1	-3	137	0	NaN	124	0	0	1	265.338244379	195.794432018	0.669726115308	0	4	0	-984.51699999999994	0	37	0	5	DCCD	NI	
3	6	1	-3	128	0	NaN	120	0	0	1	247.612516417	180.450121272	0.656694026708	0	4	0	-984.73399999999992	0	37	0	5	Rotenone	NI	
3	7	1	-3	144	0	NaN	126	0	0	1	243.348720891	167.832472826	0.620487694072	0	4	0	-985.77699999999993	0	37	0	5	TTFA	NI	
3	8	1	-3	133	0	NaN	119	0	0	1	239.140864247	167.772953229	0.606522671142	0	4	0	-985.81	0	37	0	5	Antimycin A	NI	
3	9	1	-3	96	0	NaN	83	0	0	1	234.629515048	163.491288229	0.611491070424	0	4	0	-985.886	0	37	0	5	NaCN	NI	
3	10	1	-3	95	0	NaN	85	0	0	1	275.395524217	218.314958744	0.692474004275	0	4	0	-986.19999999999993	0	37	0	5	FCCP	NI	
3	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-986.17	0	37	0	5			
4	3	1	-3	103	0	NaN	95	0	0	1	246.769900683	178.635742389	0.666120944394	0	4	0	-984.877	0	37	0	5	NT	NI	
4	4	1	-3	118	0	NaN	102	0	0	1	255.738686969	195.280439619	0.703490091368	0	4	0	-984.704	0	37	0	5	Oligomycin	NI	
4	5	1	-3	131	0	NaN	120	0	0	1	243.896309435	175.28028226	0.658890320869	0	4	0	-984.21999999999991	0	37	0	5	DCCD	NI	
4	6	1	-3	119	0	NaN	106	0	0	1	238.749092214	178.007864593	0.664664510139	0	4	0	-984.673	0	37	0	5	Rotenone	NI	
4	7	1	-3	142	0	NaN	124	0	0	1	256.146591566	200.791242286	0.703582311244	0	4	0	-985.58999999999992	0	37	0	5	TTFA	NI	
4	8	1	-3	131	0	NaN	118	0	0	1	244.153894488	174.278404787	0.641394406088	0	4	0	-985.68599999999992	0	37	0	5	Antimycin A	NI	
4	9	1	-3	125	0	NaN	113	0	0	1	258.46196129	200.023037157	0.692111547744	0	4	0	-985.544	0	37	0	5	NaCN	NI	
4	10	1	-3	66	0	NaN	63	0	0	1	273.344172407	228.138916997	0.703604561673	0	4	0	-986.27699999999993	0	37	0	5	FCCP	NI	
4	11	1	-3	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-985.983	0	37	0	5			
5	3	1	-3	59	0	NaN	54	0	0	1	229.851579837	168.094611165	0.627595395887	0	4	0	-985.107	0	37	0	5	NT	NI	
5	4	1	-3	82	0	NaN	73	0	0	1	262.478054948	204.411054265	0.688137679576	0	4	0	-984.78	0	37	0	5	Oligomycin	NI	
5	5	1	-3	100	0	NaN	93	0	0	1	239.784684288	168.618873485	0.62222786571	0	4	0	-984.18999999999994	0	37	0	5	DCCD	NI	
